"Nom_Commune","INSEE_Commune","INSEE_Département","Nom_Département","Zone de sismicité"
"AMBERIEU-EN-BUGEY","01004","01","AIN","3 - Modérée"
"AMBERIEUX-EN-DOMBES","01005","01","AIN","2 - Faible"
"AMBLEON","01006","01","AIN","3 - Modérée"
"AMBRONAY","01007","01","AIN","3 - Modérée"
"AMBUTRIX","01008","01","AIN","3 - Modérée"
"ANDERT-ET-CONDON","01009","01","AIN","3 - Modérée"
"ANGLEFORT","01010","01","AIN","3 - Modérée"
"APREMONT","01011","01","AIN","3 - Modérée"
"ARANC","01012","01","AIN","3 - Modérée"
"ARANDAS","01013","01","AIN","3 - Modérée"
"ARBENT","01014","01","AIN","3 - Modérée"
"ARBIGNIEU","01015","01","AIN","3 - Modérée"
"ARBIGNY","01016","01","AIN","2 - Faible"
"ARGIS","01017","01","AIN","3 - Modérée"
"ARMIX","01019","01","AIN","3 - Modérée"
"ARS-SUR-FORMANS","01021","01","AIN","2 - Faible"
"ARTEMARE","01022","01","AIN","3 - Modérée"
"ASNIERES-SUR-SAONE","01023","01","AIN","2 - Faible"
"ATTIGNAT","01024","01","AIN","2 - Faible"
"BAGE-LA-VILLE","01025","01","AIN","2 - Faible"
"BAGE-LE-CHATEL","01026","01","AIN","2 - Faible"
"BALAN","01027","01","AIN","3 - Modérée"
"BANEINS","01028","01","AIN","2 - Faible"
"BEAUPONT","01029","01","AIN","3 - Modérée"
"BEAUREGARD","01030","01","AIN","2 - Faible"
"BELIGNEUX","01032","01","AIN","3 - Modérée"
"BELLEGARDE-SUR-VALSERINE","01033","01","AIN","3 - Modérée"
"BELLEY","01034","01","AIN","3 - Modérée"
"BELLEYDOUX","01035","01","AIN","3 - Modérée"
"BELLIGNAT","01031","01","AIN","3 - Modérée"
"BELMONT-LUTHEZIEU","01036","01","AIN","3 - Modérée"
"BENONCES","01037","01","AIN","3 - Modérée"
"BENY","01038","01","AIN","3 - Modérée"
"BEON","01039","01","AIN","3 - Modérée"
"BEREZIAT","01040","01","AIN","2 - Faible"
"BETTANT","01041","01","AIN","3 - Modérée"
"BEY","01042","01","AIN","2 - Faible"
"BEYNOST","01043","01","AIN","2 - Faible"
"BILLIAT","01044","01","AIN","3 - Modérée"
"BIRIEUX","01045","01","AIN","2 - Faible"
"BIZIAT","01046","01","AIN","2 - Faible"
"BLYES","01047","01","AIN","3 - Modérée"
"BOHAS-MEYRIAT-RIGNAT","01245","01","AIN","3 - Modérée"
"BOISSEY","01050","01","AIN","2 - Faible"
"BOLOZON","01051","01","AIN","3 - Modérée"
"BOULIGNEUX","01052","01","AIN","2 - Faible"
"BOURG-EN-BRESSE","01053","01","AIN","3 - Modérée"
"BOURG-SAINT-CHRISTOPHE","01054","01","AIN","3 - Modérée"
"BOYEUX-SAINT-JEROME","01056","01","AIN","3 - Modérée"
"BOZ","01057","01","AIN","2 - Faible"
"BREGNIER-CORDON","01058","01","AIN","3 - Modérée"
"BRENAZ","01059","01","AIN","3 - Modérée"
"BRENOD","01060","01","AIN","3 - Modérée"
"BRENS","01061","01","AIN","3 - Modérée"
"BRESSOLLES","01062","01","AIN","3 - Modérée"
"BRION","01063","01","AIN","3 - Modérée"
"BRIORD","01064","01","AIN","3 - Modérée"
"BUELLAS","01065","01","AIN","2 - Faible"
"CEIGNES","01067","01","AIN","3 - Modérée"
"CERDON","01068","01","AIN","3 - Modérée"
"CERTINES","01069","01","AIN","3 - Modérée"
"CESSY","01071","01","AIN","3 - Modérée"
"CEYZERIAT","01072","01","AIN","3 - Modérée"
"CEYZERIEU","01073","01","AIN","3 - Modérée"
"CHALAMONT","01074","01","AIN","3 - Modérée"
"CHALEINS","01075","01","AIN","2 - Faible"
"CHALEY","01076","01","AIN","3 - Modérée"
"CHALLES-LA-MONTAGNE","01077","01","AIN","3 - Modérée"
"CHALLEX","01078","01","AIN","3 - Modérée"
"CHAMPAGNE-EN-VALROMEY","01079","01","AIN","3 - Modérée"
"CHAMPDOR","01080","01","AIN","3 - Modérée"
"CHAMPFROMIER","01081","01","AIN","3 - Modérée"
"CHANAY","01082","01","AIN","3 - Modérée"
"CHANEINS","01083","01","AIN","2 - Faible"
"CHANOZ-CHATENAY","01084","01","AIN","2 - Faible"
"CHARIX","01087","01","AIN","3 - Modérée"
"CHARNOZ-SUR-AIN","01088","01","AIN","3 - Modérée"
"CHATEAU-GAILLARD","01089","01","AIN","3 - Modérée"
"CHATENAY","01090","01","AIN","3 - Modérée"
"CHATILLON-EN-MICHAILLE","01091","01","AIN","3 - Modérée"
"CHATILLON-LA-PALUD","01092","01","AIN","3 - Modérée"
"CHATILLON-SUR-CHALARONNE","01093","01","AIN","2 - Faible"
"CHAVANNES-SUR-REYSSOUZE","01094","01","AIN","2 - Faible"
"CHAVANNES-SUR-SURAN","01095","01","AIN","3 - Modérée"
"CHAVEYRIAT","01096","01","AIN","2 - Faible"
"CHAVORNAY","01097","01","AIN","3 - Modérée"
"CHAZEY-BONS","01098","01","AIN","3 - Modérée"
"CHAZEY-SUR-AIN","01099","01","AIN","3 - Modérée"
"CHEIGNIEU-LA-BALME","01100","01","AIN","3 - Modérée"
"CHEVILLARD","01101","01","AIN","3 - Modérée"
"CHEVROUX","01102","01","AIN","2 - Faible"
"CHEVRY","01103","01","AIN","3 - Modérée"
"CHEZERY-FORENS","01104","01","AIN","3 - Modérée"
"CIVRIEUX","01105","01","AIN","2 - Faible"
"CIZE","01106","01","AIN","3 - Modérée"
"CLEYZIEU","01107","01","AIN","3 - Modérée"
"COLIGNY","01108","01","AIN","3 - Modérée"
"COLLONGES","01109","01","AIN","3 - Modérée"
"COLOMIEU","01110","01","AIN","3 - Modérée"
"CONAND","01111","01","AIN","3 - Modérée"
"CONDAMINE","01112","01","AIN","3 - Modérée"
"CONDEISSIAT","01113","01","AIN","2 - Faible"
"CONFORT","01114","01","AIN","3 - Modérée"
"CONFRANCON","01115","01","AIN","2 - Faible"
"CONTREVOZ","01116","01","AIN","3 - Modérée"
"CONZIEU","01117","01","AIN","3 - Modérée"
"CORBONOD","01118","01","AIN","3 - Modérée"
"CORCELLES","01119","01","AIN","3 - Modérée"
"CORLIER","01121","01","AIN","3 - Modérée"
"CORMARANCHE-EN-BUGEY","01122","01","AIN","3 - Modérée"
"CORMORANCHE-SUR-SAONE","01123","01","AIN","2 - Faible"
"CORMOZ","01124","01","AIN","2 - Faible"
"CORVEISSIAT","01125","01","AIN","3 - Modérée"
"COURMANGOUX","01127","01","AIN","3 - Modérée"
"COURTES","01128","01","AIN","2 - Faible"
"CRANS","01129","01","AIN","3 - Modérée"
"CRAS-SUR-REYSSOUZE","01130","01","AIN","2 - Faible"
"CRESSIN-ROCHEFORT","01133","01","AIN","3 - Modérée"
"CROTTET","01134","01","AIN","2 - Faible"
"CROZET","01135","01","AIN","3 - Modérée"
"CRUZILLES-LES-MEPILLAT","01136","01","AIN","2 - Faible"
"CULOZ","01138","01","AIN","3 - Modérée"
"CURCIAT-DONGALON","01139","01","AIN","2 - Faible"
"CURTAFOND","01140","01","AIN","2 - Faible"
"CUZIEU","01141","01","AIN","3 - Modérée"
"DAGNEUX","01142","01","AIN","3 - Modérée"
"DIVONNE-LES-BAINS","01143","01","AIN","3 - Modérée"
"DOMMARTIN","01144","01","AIN","2 - Faible"
"DOMPIERRE-SUR-CHALARONNE","01146","01","AIN","2 - Faible"
"DOMPIERRE-SUR-VEYLE","01145","01","AIN","3 - Modérée"
"DOMSURE","01147","01","AIN","3 - Modérée"
"DORTAN","01148","01","AIN","3 - Modérée"
"DOUVRES","01149","01","AIN","3 - Modérée"
"DROM","01150","01","AIN","3 - Modérée"
"DRUILLAT","01151","01","AIN","3 - Modérée"
"ECHALLON","01152","01","AIN","3 - Modérée"
"ECHENEVEX","01153","01","AIN","3 - Modérée"
"ETREZ","01154","01","AIN","2 - Faible"
"EVOSGES","01155","01","AIN","3 - Modérée"
"FARAMANS","01156","01","AIN","3 - Modérée"
"FAREINS","01157","01","AIN","2 - Faible"
"FARGES","01158","01","AIN","3 - Modérée"
"FEILLENS","01159","01","AIN","2 - Faible"
"FERNEY-VOLTAIRE","01160","01","AIN","3 - Modérée"
"FLAXIEU","01162","01","AIN","3 - Modérée"
"FOISSIAT","01163","01","AIN","2 - Faible"
"FRANCHELEINS","01165","01","AIN","2 - Faible"
"FRANS","01166","01","AIN","2 - Faible"
"GARNERANS","01167","01","AIN","2 - Faible"
"GENOUILLEUX","01169","01","AIN","2 - Faible"
"GEOVREISSET","01171","01","AIN","3 - Modérée"
"GEOVREISSIAT","01170","01","AIN","3 - Modérée"
"GERMAGNAT","01172","01","AIN","3 - Modérée"
"GEX","01173","01","AIN","3 - Modérée"
"GIRON","01174","01","AIN","3 - Modérée"
"GORREVOD","01175","01","AIN","2 - Faible"
